,ranking,judul,tahun,durasi,genre,rating
0,1.,The Shawshank Redemption,(1994),142 min,Drama,9.3
1,2.,The Godfather,(1972),175 min,"Crime, Drama",9.2
2,3.,Spider-Man: Across the Spider-Verse,(2023),140 min,"Animation, Action, Adventure",9.0
3,4.,The Dark Knight,(2008),152 min,"Action, Crime, Drama",9.0
4,5.,Schindler's List,(1993),195 min,"Biography, Drama, History",9.0
5,6.,The Godfather Part II,(1974),202 min,"Crime, Drama",9.0
6,7.,The Lord of the Rings: The Return of the King,(2003),201 min,"Action, Adventure, Drama",9.0
7,8.,12 Angry Men,(1957),96 min,"Crime, Drama",9.0
8,9.,Pulp Fiction,(1994),154 min,"Crime, Drama",8.9
9,10.,Inception,(2010),148 min,"Action, Adventure, Sci-Fi",8.8
10,11.,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"Action, Adventure, Drama",8.8
11,12.,Fight Club,(1999),139 min,Drama,8.8
12,13.,Forrest Gump,(1994),142 min,"Drama, Romance",8.8
13,14.,"The Good, the Bad and the Ugly",(1966),178 min,"Adventure, Western",8.8
14,15.,The Lord of the Rings: The Two Towers,(2002),179 min,"Action, Adventure, Drama",8.8
15,16.,Jai Bhim,(2021),164 min,"Crime, Drama, Mystery",8.8
16,17.,Interstellar,(2014),169 min,"Adventure, Drama, Sci-Fi",8.7
17,18.,Goodfellas,(1990),145 min,"Biography, Crime, Drama",8.7
18,19.,The Matrix,(1999),136 min,"Action, Sci-Fi",8.7
19,20.,One Flew Over the Cuckoo's Nest,(1975),133 min,Drama,8.7
20,21.,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,"Action, Adventure, Fantasy",8.7
21,22.,The Green Mile,(1999),189 min,"Crime, Drama, Fantasy",8.6
22,23.,Saving Private Ryan,(1998),169 min,"Drama, War",8.6
23,24.,Se7en,(1995),127 min,"Crime, Drama, Mystery",8.6
24,25.,The Silence of the Lambs,(1991),118 min,"Crime, Drama, Thriller",8.6
25,26.,Star Wars: Episode IV - A New Hope,(1977),121 min,"Action, Adventure, Fantasy",8.6
26,27.,Terminator 2: Judgment Day,(1991),137 min,"Action, Sci-Fi",8.6
27,28.,Spirited Away,(2001),125 min,"Animation, Adventure, Family",8.6
28,29.,City of God,(2002),130 min,"Crime, Drama",8.6
29,30.,Life Is Beautiful,(1997),116 min,"Comedy, Drama, Romance",8.6
30,31.,Seven Samurai,(1954),207 min,"Action, Drama",8.6
31,32.,It's a Wonderful Life,(1946),130 min,"Drama, Family, Fantasy",8.6
32,33.,Harakiri,(1962),133 min,"Action, Drama, Mystery",8.6
33,34.,Parasite,(2019),132 min,"Drama, Thriller",8.5
34,35.,The Departed,(2006),151 min,"Crime, Drama, Thriller",8.5
35,36.,Whiplash,(2014),106 min,"Drama, Music",8.5
36,37.,Back to the Future,(1985),116 min,"Adventure, Comedy, Sci-Fi",8.5
37,38.,Alien,(1979),117 min,"Horror, Sci-Fi",8.5
38,39.,L̩on: The Professional,(1994),110 min,"Action, Crime, Drama",8.5
39,40.,Gladiator,(2000),155 min,"Action, Adventure, Drama",8.5
40,41.,The Prestige,(2006),130 min,"Drama, Mystery, Sci-Fi",8.5
41,42.,Casablanca,(1942),102 min,"Drama, Romance, War",8.5
42,43.,The Lion King,(1994),88 min,"Animation, Adventure, Drama",8.5
43,44.,American History X,(1998),119 min,"Crime, Drama",8.5
44,45.,The Pianist,(2002),150 min,"Biography, Drama, Music",8.5
45,46.,The Usual Suspects,(1995),106 min,"Crime, Drama, Mystery",8.5
46,47.,Psycho,(1960),109 min,"Horror, Mystery, Thriller",8.5
47,48.,The Intouchables,(2011),112 min,"Biography, Comedy, Drama",8.5
48,49.,Once Upon a Time in the West,(1968),165 min,Western,8.5
49,50.,Grave of the Fireflies,(1988),89 min,"Animation, Drama, War",8.5
